country,country_code,quarter,year,Quarter,GDP_nom,GDP_real,Consumption,Investment,Export,Import,CurrentAccount,CurrentAccount_GDP,TradeBalance,TradeBalance_GDP,int_rate,reer,VA_A,VA_B_E,VA_C,VA_F,VA_G_I,VA_J,VA_K,VA_L,VA_M_N,VA_O_Q,VA_R_U,EMP_A,EMP_B_E,EMP_C,EMP_F,EMP_G_I,EMP_J,EMP_K,EMP_L,EMP_M_N,EMP_O_Q,EMP_R_U,temp,rf_int_rate,spread
SWEDEN,SE,2009q4,2009,2009q4,81369.602,88800.7,65885.39999999999,19860,38027.1,34212.3,4170.3,5,3814.799999999996,4.295912081774126,3.25,94.16819,1464.8,15473.8,12591.7,5897.2002,14793.5,5366.5,3825.1001,7415.7998,8543.2002,20497.699,2719.3,79.59999847412109,51.70000076293945,530.2000122070313,290.8999938964844,906.7000274658203,177.3000030517578,97.19999694824219,58.79999923706055,516.3000183105469,1407.000030517578,214,,3.1900001,.059999943
SWEDEN,SE,2010q1,2010,2010q1,87197.703,91154.10000000001,66741.7,19693,39440,34859.6,5297.2,6.3,4580.400000000001,5.024897399019903,3.28,98.239349,1454.2,17838.5,14708.7,5644.3999,14649,5717.8999,3906.7,7260.2998,8877.2002,20564.301,2724.7,77.40000152587891,49.19999885559082,522.2999877929688,280.2999877929688,903.6999816894531,168.8000030517578,95.30000305175781,59.09999847412109,513.8999938964844,1395.399993896484,214.5999984741211,,3.1800001,.099999905
SWEDEN,SE,2010q2,2010,2010q2,91521.5,93031.7,66985.8,20587,41329.3,36669.5,5560.2,5.9,4659.800000000003,5.008830323427394,2.8299999,100.77036,1474,18656.5,15442.4,5677.1001,15050.2,5794.3999,3858.5,7328.2002,8948.4004,20612.801,2762.6001,82.30000305175781,51.79999923706055,537.7999877929688,297.7000122070313,933.7999877929688,171,94.5,58.09999847412109,529.1000061035156,1426.200012207031,221.6999969482422,,2.78,.049999952
SWEDEN,SE,2010q3,2010,2010q3,95928.5,94181.2,67523.89999999999,21624.9,42396.9,38034.1,5079.4,5.5,4362.800000000003,4.632347007683065,2.5599999,103.36937,1478.5,18880.199,15818.2,5800.7002,15250,6046.8999,3845.2,7325.5,9149.2998,20629.6,2740.6001,85.59999847412109,50.99999904632568,546.5999755859375,307.5,954.7000122070313,172.5,94.69999694824219,60.29999923706055,532.3999938964844,1446.100036621094,222.3000030517578,,2.4200001,.13999987
SWEDEN,SE,2010q4,2010,2010q4,99717.203,95680.7,68028.39999999999,21935,43669.9,38204,6078,5.9,5465.900000000001,5.712646333064036,2.9000001,105.66209,1471.9,19379.699,16428.9,5794.6001,15603.8,6161.3999,3962.2,7324.1001,9368.4004,20709.699,2769.3,79.30000305175781,47.30000019073486,535.9000244140625,296.8999938964844,925.4999847412109,177.5,94.09999847412109,56.79999923706055,535.5,1437.699981689453,215.5,,2.5999999,.30000019
SWEDEN,SE,2011q1,2011,2011q1,104008.9,96039.89999999999,68031.2,21497.6,43986.9,39428.1,6636.1,6.6,4558.800000000003,4.746777120759188,3.3499999,109.14429,1506.8,19978.6,16934.199,5788.6001,15827.5,6191.7998,4041.8,7448.7002,9335.4004,20558.6,2792.5,77.90000152587891,45.79999971389771,534.9000244140625,290.7000122070313,909.0000152587891,180.6000061035156,96.80000305175781,58.90000152587891,537.9000091552734,1442.699981689453,213.0999984741211,,3.1400001,.2099998
SWEDEN,SE,2011q2,2011,2011q2,102976.6,96360.3,68655.89999999999,22822.2,44211.8,39678.1,4959.9,4.7,4533.700000000004,4.704945916523718,3.0699999,106.58257,1501.1,19428.6,16447.1,5934.6001,15935.2,6258.7998,4304.3999,7398.8999,9524.0996,20603.199,2814.6001,81.69999694824219,50.80000019073486,550.4000244140625,301.2999877929688,933.6999816894531,189.8000030517578,94.40000152587891,60.20000076293945,552.5000152587891,1464.200012207031,219.3000030517578,,3.0999999,-.029999971
SWEDEN,SE,2011q3,2011,2011q3,103194.8,97579.89999999999,68544.39999999999,22643.4,45722,39801.8,6843,6.9,5920.199999999997,6.067028148214948,2.25,104.7421,1514.4,19684.5,16530.699,6029.7998,16060.1,6427.6001,4271.2002,7431.2998,9776.9004,20650.301,2819.8999,80.09999847412109,53.69999980926514,562.7999877929688,306.1000061035156,947.4000244140625,192.3999938964844,92.30000305175781,62.79999923706055,561.5,1476.200012207031,217.8000030517578,,2.26,-.0099999905
SWEDEN,SE,2011q4,2011,2011q4,102222.6,96256.3,68399.7,22010,44272.7,39397.1,4133.3,3.9,4875.599999999999,5.065226899434113,1.76,105.01703,1507.5,19168.4,16129.6,5936.6001,15924.7,6410.8999,4086.7,7565.5,9639.2998,20522.4,2816.2,79.30000305175781,52.09999847412109,542.5,306.7000122070313,908.7000122070313,190.6000061035156,92.69999694824219,59.09999847412109,566.1999969482422,1465,204,,1.9299999,-.16999996
SWEDEN,SE,2012q1,2012,2012q1,105247.2,96409,68770.39999999999,22601.4,45318.2,40135.1,6260.1,6.1,5183.099999999999,5.376157827588709,1.85,107.3602,1521.7,19147.1,15629.4,6054.7002,15992.9,6383.3999,4026.8999,7677.6001,9598.0996,20592.199,2800.8999,78.30000305175781,54.00000095367432,528.5999755859375,299.2000122070313,885.5,192.8000030517578,91.09999847412109,58.70000076293945,558.3000183105469,1445.799987792969,213.2000045776367,,1.83,.019999981
SWEDEN,SE,2012q2,2012,2012q2,105645.5,96550.10000000001,68974.10000000001,22084.6,45990.5,40327.2,5124.8,4.7,5663.300000000003,5.865659383056054,1.59,106.19374,1504.3,19181.6,15651.7,5914,15882.3,6428.1001,4293,7774.2002,9758.2002,20650.301,2821.2,79.80000305175781,54.30000019073486,535.5,308.6000061035156,917.6999816894531,196.3000030517578,94.40000152587891,60.20000076293945,566.2000122070313,1478.899993896484,215.5,,1.42,.17000008
